ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
3693,Improved Cookstove Distribution by Climate Detox Private Limited- Phase II,Multiple Proponents,Energy demand,,VMR0006,Registration requested,India,368478,Asia,,2022-08-01,2029-07-31
3690,PROJECT MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Rejected by Administrator,Colombia,1067300,Latin America,,2017-06-02,2037-06-01
3691,Safe Drinking Water Supply Project in the Rural Area of Senegal,"Guangzhou Iceberg Environmental Consulting Services Co., Ltd.",Energy demand,,AMS-III.AV.,Registered,Senegal,269450,Africa,2023-10-04,2021-03-23,2028-03-22
3692,Xinjiang Burqin Improved Grassland Management Project Phase II,Burqin Jinhua Urban Construction and Investment Co.Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0026,Under validation,China,262318,Asia,,2021-10-11,2061-10-10
3683,Adjusted Water Management in Rice Cultivation in Yuyao City,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under validation,China,59984,Asia,,2020-06-16,2027-06-15
3684,Adjusted Water Management in Rice Cultivation in Shangyu District,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under validation,China,59906,Asia,,2020-06-18,2027-06-17
3685,Adjusted Water Management in Rice Cultivation in Nanxun District,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under validation,China,59989,Asia,,2020-06-13,2027-06-12
3686,Adjusted Water Management in Rice Cultivation in Haining City,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under validation,China,59957,Asia,,2020-06-10,2027-06-09
3687,Adjusted Water Management in Rice Cultivation in Xiuzhou District,"Hangzhou Chunmeng Agricultural Technology Co., Ltd",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under validation,China,59933,Asia,,2020-06-17,2027-06-16
3688,Shandong Xiantan Composting Project,Shandong Xiantan Biotechnology Co Ltd,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,55293,Asia,2023-10-18,2021-05-01,2031-04-30
3689,Biodiesel Project by Rajputana Biodiesel Private Limited,Rajputana Biodiesel Private Limited,Chemical industry,,ACM0017,Registration and verification approval requested,India,126559,Asia,,2020-12-15,2027-12-14
3680,Improved Cookstove Distribution by Climate Detox Private Limited- Phase I,Multiple Proponents,Energy demand,,VMR0006,Registration requested,India,368478,Asia,,2022-07-10,2029-07-09
3681,"Wastes to BioCNG Project by Cities Innovative Biofuels in Patiala, Punjab, India",Cities Innovative Biofuels Private Limited,Transport; Waste handling and disposal,,AMS-III.AO.; AMS-III.AQ,Under validation,India,26888,Asia,,2022-12-15,2029-12-14
3678,Chia Tai AWMS GHG Mitigation Project in Guangdong Province,"Guangdong Zhanjiang Chia Tai Swine Industry Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registration and verification approval requested,China,131840,Asia,,2021-07-01,2031-06-30
3676,AVOCADO AGROFORESTRY GROUPED PROJECT IN ISRAEL,Rivulis Pte. Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,Israel,294,Middle East,,2020-04-01,2045-03-31
3677,Ecobase Europe Afforestation Project,ECOBASE (PROJECT SPRUCE OÜ),Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,Estonia,1547919,Europe,,2019-09-01,2119-08-31
3675,GHG EMISSION REDUCTION THROUGH INTERMITTENT FLOODING IN RICE FIELDS,Landmark Agri Exports Private Limited,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU; VM0042,Under validation,India,58722,Asia,,2020-06-05,2027-06-04
3674,Veracruz Mangrove For Life Project,Livelihoods Fund SICAV SIF,Agriculture Forestry and Other Land Use,ARR,AR-AM0014,Rejected by Administrator,Mexico,50902,Latin America,,2017-01-17,2042-01-16
3670,MEIOESTE UNICARBO LANDFILL GAS TO ENERGY PROJECT,UniCarbo Energia e Biogás Ltda.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registration requested,Brazil,207596,Latin America,,2021-03-21,2028-03-20
3671,Chaco Vivo,Atenil S.A.,Agriculture Forestry and Other Land Use,REDD,VM0007,Under validation,Paraguay,3463001,Latin America,,2022-01-01,2031-12-31
3669,Western Kenya Soil Carbon Project,Soil-Carbon Certification Services,Agriculture Forestry and Other Land Use,ALM,VM0017,Under validation,Kenya,93690,Africa,,2019-10-01,2039-09-30
3668,Jintudi Composting Project in Zhucheng City,"Zhucheng Jintudi Organic Fertilizer Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registration and verification approval requested,China,58860,Asia,,2021-03-15,2031-03-14
3667,SHANDONG BEICHEN BREEDING SWINE FARM COMPOSTING PROJECT,"Lijin Huayu Breeding Swine Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registration requested,China,25169,Asia,,2022-06-10,2029-06-09
3664,Huinan County Afforestation Project,"Jinyongli Carbon Oxygen Technology (Jilin) Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,China,316696,Asia,,2020-03-16,2080-03-15
3666,Xingu-Araguaia Grouped REDD+ Project,Future Carbon Consultoria e Projetos Florestais LTDA,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Brazil,47380,Latin America,,2020-12-14,2050-12-13
3661,Strengthening Rural Livelihood Through Carbon Finance: Agroforestry Practices In Moradabad Forest Circle Of Uttar Pradesh,"Department of Environment, Forest and Climate Change, Government of Uttar Pradesh",Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Under validation,India,228381,Asia,,2019-10-15,2049-10-14
3662,15 MW Nam Hinboun Downstream Hydropower Project,Rasita Power Co. Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Lao,44957,Asia,2023-04-11,2021-02-01,2028-01-31
3663,Strengthening rural livelihood through carbon finance to agroforestry practices in Saharanpur Forest Circle of Uttar Pradesh,"Department of Environment, Forest and Climate Change, Government of Uttar Pradesh",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,India,397720,Asia,,2019-10-18,2049-10-17
3658,DISTRIBUTION OF FUEL EFFICIENT IMPROVED COOKSTOVES IN INDIA,SB Agri Renewable Private Limited,Energy demand,,VMR0006,Registration and verification approval requested,India,103850,Asia,,2021-03-01,2028-02-29
3659,Nesa Solar PV Grouped Project,Nesa Power,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,South Africa,10078,Africa,,2020-11-17,2027-11-16
3660,Papariko - Restoration of Degraded Mangrove Areas in Kenya,Vlinder Austria GmbH,Agriculture Forestry and Other Land Use,ARR,AR-AM0014,On Hold,Kenya,30389,Africa,,2022-05-26,2052-05-25
3654,Improved cookstove grouped project in Rwanda,B.B. Energy (Asia) Pte Ltd,Energy demand,,VMR0006,Registered,Rwanda,1376362,Africa,2023-06-13,2022-09-01,2032-08-31
3655,Sustainable Paddy Program,AgriCapita Innotech Private Limited,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Registration requested,India,54252,Asia,,2022-07-01,2032-06-30
3656,Agoro Carbon USA Pastureland Program,Agoro Carbon Alliance US Inc.,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,United States,269777,North America,,2022-03-01,2042-02-28
3657,Grouped Commercial Vehicle EV Project in India,Multiple Proponents,Transport,,AMS-I.F.; AMS-III.C.,Registered,India,7052,Asia,2023-09-05,2021-03-23,2031-03-22
3653,Xinxiang MSW Incineration Project,"Xinxiang Capital Environment Energy Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Registered,China,157862,Asia,2023-08-21,2020-11-19,2030-11-18
3648,"Fengxi Geothermal Space Heating Project in Xi’an city, Shaanxi Province","Shaanxi Province Xixian new district Fengxi New Town Energy Development Co., Ltd.",Energy industries (renewable/non-renewable sources),,AM0072,Registered,China,17526,Asia,2023-05-12,2021-01-15,2031-01-14
3649,Tianjin Dahanzhuang LFG Power Generation Project I,"Tianjin Zhonglan Huanneng Co., Ltd",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,82910,Asia,2023-03-06,2020-12-10,2030-12-09
3650,CPA1 - Man and Man Enterprise Improved Cooking Stoves Programme in Ghana (Brong-Ahafo region),Man and Man Enterprise,Energy demand,,AMS-II.G.,Under validation,Ghana,174201,Africa,,2018-11-30,2025-11-29
3651,Ege Biogas Project,Ege Biyogaz Elektrik Üretim Anonim Şirketi,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AM0073,Registration and verification approval requested,Turkey,418477,,,2021-04-23,2028-04-22
3641,Dongfang Municipal Solid Waste Incineration for Power Generation Project,"Everbright Environmental Energy (Dongfang) Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under validation,China,107666,Asia,,2020-11-14,2030-11-13
3642,Shanghe Geothermal Space Heating Project,"SINOPEC GREEN ENERGY GEOTHERMAL SHANDONG DEVELOPMENT CO., LTD SHANGHE BRANCH",Energy industries (renewable/non-renewable sources),,AM0072,Registered,China,50406,Asia,2023-08-08,2021-01-18,2031-01-17
3637,Kayseri Landfill Gas to Power Generation Project,R Enerji Elektrik Üretim A.Ş.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registration requested,Turkey,157255,Middle East,,2021-06-30,2028-06-29
3638,BERGAMA INTEGRATED SOLID WASTE MANAGEMENT FACILITY AND ELECTRICITY GENERATION FACILITY,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001; ACM0022,Under validation,Turkey,76729,,,2020-10-31,2027-10-30
3639,2BZ BES ÇUBUK BIOGAS POWER PLANT,Multiple Proponents,Waste handling and disposal,,AM0073,Registration requested,Turkey,159712,,,2020-10-27,2027-10-26
3640,3A BES Akyurt Biogas Power Plant,Multiple Proponents,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AM0073,Registration requested,Turkey,113198,Middle East,,2020-10-28,2027-10-27
3632,"Eastern Cape Bamboo Forestry Project, South Africa",EcoPlanet Bamboo Group,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,On Hold,South Africa,195438,Africa,,2023-10-01,2043-09-30
3633,Cultivating Carbon Regenerative Agriculture Project,Cultivating Carbon Proprietary Limited,Agriculture Forestry and Other Land Use,ALM,VM0017,Under development,South Africa,106000,Africa,,2018-07-01,2028-06-30
3634,Agoro Carbon USA Cropland Program,Agoro Carbon Alliance US Inc.,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,United States,34840,North America,,2021-08-01,2041-07-31
3630,Selva Paranaense Vida Nativa - GS1,NIDEPORT SOCIEDAD ANONIMA,Agriculture Forestry and Other Land Use,IFM,VM0005,On Hold,Argentina,151631,Latin America,,2021-12-15,2121-12-14
3631,IACO REDD+ Project,IACO AMBIENTAL LTDA,Agriculture Forestry and Other Land Use,REDD,VM0007,Under validation,Brazil,773489,Latin America,,2021-12-16,2051-12-15
3625,Yangdong Landfill Gas Power Generation Project,"Yangjiang Yangdong Huanyu New Energy Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,129487,Asia,2023-06-21,2021-04-01,2028-03-31
3626,Yangchun Landfill Gas Power Generation Project,"Yangchun Huanchuang New Energy Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,131612,Asia,2023-06-21,2021-08-10,2028-08-09
3627,"Eastern Cape Restoration Project, South Africa - Makhanda",EcoPlanet Bamboo Group,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,South Africa,135772,Africa,,2022-10-01,2062-09-30
3628,"Eastern Cape Restoration Project, South Africa - Somerset East",EcoPlanet Bamboo Group,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,South Africa,211721,Africa,,2022-10-01,2062-09-30
3629,CRHC Agricultural Hemp Rotation - Alberta - Project 1,Canadian Rockies Hemp Corporation,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,Canada,22593,North America,,2020-05-01,2060-04-30
3618,Methane avoidance in rice cultivation in Hefeng district of Huarong county,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under validation,China,59371,Asia,,2020-04-03,2030-04-02
3619,Methane avoidance in rice cultivation in Donggang district of Huarong county,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under validation,China,59829,Asia,,2020-04-02,2030-04-01
3620,Methane avoidance in rice cultivation in Chaqi district of Huarong county,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under validation,China,57216,Asia,,2020-04-03,2030-04-02
3621,VANKE CENTER BUILDING ENERGY EFFICIENCY PROJECT,"Deeprock Net Zero Technology (Shenzhen) Co., Ltd.",Energy demand; Energy industries (renewable/non-renewable sources),,AMS-I.D.; AMS-II.E.,Under validation,China,1311,Asia,,2022-06-01,2032-05-31
3622,MK Group Energy Biogas Plant,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Under validation,Serbia,28783,Europe,,2022-06-09,2029-06-08
3623,Bugnavilla Afforestation Through High-Quality Timber Over Degraded Grasslands,Bugnavilla SAS,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,Uruguay,4668,Latin America,,2023-04-01,2123-03-31
3615,Balıkesir Animal Manure Methane Recovery and Utilization Plant,Multiple Proponents,Waste handling and disposal,,AM0073,Registration requested,Turkey,135488,Middle East,,2020-10-17,2027-10-16
3616,Recycling Roadways for Carbon Emission Reductions - Midstate Reclamation and Trucking,"Global Emissionairy, LLC",Construction,,VM0039,Registration and verification approval requested,United States,36912,North America,,2021-04-27,2031-04-26
3617,ECOPARQUE SERGIPE LANDFILL GAS PROJECT,ORIZON Valorização de Resíduos S.A.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under validation,Brazil,389909,Latin America,,2023-02-01,2030-01-31
3610,Methane avoidance in rice cultivation in Xinzhou district of Huarong county,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under validation,China,56977,Asia,,2020-04-03,2030-04-02
3611,Methane avoidance in rice cultivation in Dongshan district of Huarong county,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under validation,China,55750,Asia,,2020-04-04,2030-04-03
3612,Methane avoidance in rice cultivation in Shengfeng district of Huarong county,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under validation,China,58857,Asia,,2020-04-04,2030-04-03
3613,Solar Power Project by SOMA Energy,Soma Energy Co. Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Cambodia,5113,Asia,2023-07-27,2020-08-13,2027-08-12
3606,Jiangxi Ruijin Improved Forest Management Project,Jiangxi Tianye Biotechnology Limited,Agriculture Forestry and Other Land Use,IFM,VM0010,Registration requested,China,115702,Asia,,2020-01-01,2049-12-31
3609,MUTLULAR BIOGAS ANIMAL MANURE METHANE RECOVERY AND UTILIZATION PLANT,Multiple Proponents,Waste handling and disposal,,AM0073,Registration requested,Turkey,334603,Middle East,,2020-10-30,2027-10-29
3603,Jiangsu Lisaike PET Recycling Project,"Jiangsu Lisaike Environmental Protection Material Technology Co., Ltd.",Waste handling and disposal,,AMS-III.AJ1,Registered,China,59277,Asia,2023-07-31,2021-03-16,2028-03-15
3604,Improved Cookstove Implementation in Nepal.,Multiple Proponents,Energy demand,,VMR0006,Registration and verification approval requested,Nepal,32757,Asia,,2021-08-01,2031-07-31
3599,Grouped Projects for Safe Drinking Water for Schools in Viet Nam,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,,AMS-III.AV.,Registered,Viet Nam,581697,Asia,2023-09-25,2022-07-04,2032-07-03
3600,SULIGE AFFORESTATION PROJECT IN INNER MONGOLIA AUTONOMOUS REGION,PETROCHINA Changqing Oilfield Company,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Under validation,China,688,Asia,,2022-12-02,2042-12-01
3601,CAAPII REDD+ PROJECT,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Brazil,470940,Latin America,,2019-07-25,2049-07-24
3602,Udzungwa Corridor Reforestation,Udzungwa Corridor Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registration requested,Tanzania,178047,Africa,,2022-02-03,2052-02-02
3593,"Bougouni-Yanfolila Forest Project, Mali",Multiple Proponents,Agriculture Forestry and Other Land Use,ARR; REDD,AR-AMS0007; VM0006,Under development,Mali,436828,Africa,,2018-10-05,2048-10-04
3594,Finca la Paz II,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Under development,Colombia,110350,Latin America,,2016-12-01,2046-11-30
3595,"Agroforestry System  Lanquin, Alta Verapaz, Guatemala",Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Under development,Guatemala,7383,Latin America,,2019-04-04,2049-04-03
3596,Methane avoidance in rice cultivation in South of Yunxi District,"Hunan Yueyang Huabanqiao Market Development Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under validation,China,55955,Asia,,2020-04-03,2030-04-02
3598,REPLACING SYNTHETIC NITROGEN FERTILIZER WITH IN-SEASON NITROGEN SOURCES THAT FIX AND SUPPLY NITROGEN TO AGRICULTURAL CROPS,"Pivot Bio, Inc.",Agriculture Forestry and Other Land Use,ALM,VM0022,Under validation,United States,1000,North America,,2022-01-01,2031-12-31
3565,Core Farming in Jharkhand,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0017,Under development,India,289256,Asia,,2018-09-10,2058-09-09
3568,CORE CARBON SERICULTURE PLANTATION IN ODISHA STATE,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,India,104844,Asia,,2018-06-20,2038-06-19
3569,AAC Block Project by Parthcrete Green Concrete Solutions LLP,Parthcrete Green Concrete Solutions LLP,Manufacturing industries,,AMS-III.Z,Under development,India,16869,Asia,,2021-09-27,2028-09-26
3570,Bamboo plantations by farmers and community in the country,Infinite Solutions,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,India,61126,Asia,,2019-07-09,2049-07-08
3572,GROUPED AGROFORESTRY PROJECT IN VARIOUS STATES OF INDIA,Infinite Solutions,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,India,163886,Asia,,2019-07-01,2049-06-30
3574,Grouped plantation activity in various states of India,Infinite Environmental Solutions LLP,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,India,95097,Asia,,2019-07-13,2049-07-12
3575,Kokolopori Bonobo Peace Forest Grouped REDD Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Under development,"Congo, The Democratic Republic of The",1047213,Africa,,2021-02-26,2031-02-25
3576,Ban Odisha 01,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,2015-01-01,2034-12-31
3577,Ban Odisha 02,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,2015-01-01,2034-12-31
3578,Ban Odisha 03,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,2015-01-01,2034-12-31
3579,Ban Odisha 04,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,2015-01-01,2034-12-31
3580,Ban Odisha 05,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,2015-01-01,2034-12-31
3582,Ban Odisha 06,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,2015-01-01,2034-12-31
3583,Ban Odisha 07,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,2015-01-01,2034-12-31
3584,Ban Odisha 08,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,2015-01-01,2034-12-31
3585,Ban Odisha 09,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,2015-01-01,2034-12-31
3586,Ban Odisha 10,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Rejected by Administrator,India,15671,Asia,,2015-01-01,2034-12-31
3588,Agro Forestry01,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,Pakistan,1699482,Asia,,2018-01-01,2037-12-31
3589,Tshopo Lomami Grouped REDD Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,"Congo, The Democratic Republic of The",2944128,Africa,,2020-09-20,2050-09-19
3590,Jutaituba REDD+ Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Brazil,263356,Latin America,,2021-01-14,2031-01-13
3592,Sankuru Peace Forest Grouped REDD Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,"Congo, The Democratic Republic of The",7390562,Africa,,2020-12-30,2050-12-29
3560,Improving livelihoods through Agroforestry Plantations in India,Infinite Solutions,Agriculture Forestry and Other Land Use,ARR,ACM0003,Under development,India,39445,Asia,,2019-06-20,2049-06-19
3561,Core Farming in Tamil Nadu,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0017,Under development,India,871824,Asia,,2018-11-01,2058-10-31
3562,Agroforestry plantations in India,Shivbhadra Agro Private LTD,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,India,584308,Asia,,2018-06-01,2048-05-31
3563,Core Farming in Himachal Pradesh,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0017,Under development,India,291824,Asia,,2018-11-01,2058-10-31
3564,REDD+ Project for the Conservation of Lowland Forest in the  Magdalena Medio Region of Colombia,Fundación Biodiversa Colombia (FBC),Agriculture Forestry and Other Land Use,REDD,VM0015,Under development,Colombia,20581,,,2018-07-01,2048-06-30
3542,Gansu Xiaolongshan Afforestation Project,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,China,45361,Asia,,2017-09-01,2077-08-31
3544,Solid Waste to Energy Production Facility Sonepat,JBM Environment Management Pvt Ltd,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Registration and verification approval requested,India,152616,Asia,,2021-08-13,2031-08-12
3545,"50 MW (AC) SOLAR PARK AT SUTIAKHALI, GOURIPUR, MYMENSINGH",HDFC Sinpower Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Bangladesh,55302,Asia,2023-02-06,2020-11-04,2027-11-03
3546,ADJUSTED WATER MANAGEMENT IN RICE CULTIVATION IN CHANGSHOU DISTRICT,Chongqing Xinchu Carbon Technology Co. Ltd,Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under validation,China,41217,Asia,,2020-04-20,2027-04-19
3549,Community Based Forest Plantation in India,Greenovation Sustainability Solutions Private Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,India,140882,Asia,,2018-07-03,2038-07-02
3552,Community Forestry Initiatives in India,SAUNTA GAUNTA FOUNDATION,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,India,145278,Asia,,2018-06-02,2058-06-01
3553,COMMUNITY PARTICIPATIVE FORESTRY/AGROFORESTRY DEVELOPMENT PROJECT IN INDIA,Indian Farm Forestry Development Co-operative Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Registration requested,India,10371,Asia,,2015-07-01,2035-06-30
3554,Core Farming in Odisha,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0017,Under development,India,774200,Asia,,2018-10-01,2058-09-30
3556,Grouped Rooftop Solar Project by Tata Power Renewable Energy Limited,Tata Power Renewable  Energy Limited,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registration and verification approval requested,India,17764,Asia,,2020-10-01,2027-09-30
3557,Bundled Solar Power Project by Sun Source Energy Private Limited 01,Sun Source Energy Private Limited.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,On Hold,India,19763,Asia,,2021-01-04,2028-01-03
3558,Core Farming in West Bengal,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0017,Under development,India,308918,Asia,,2018-08-01,2058-07-31
3559,Bundled Solar Power Project by Sun Source Energy Private Limited 02,Sun Source Energy Private Limited.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Registration and verification approval requested,India,19819,Asia,,2021-10-19,2028-10-18
3510,Global Cookstove Program (Phase 41),EKI Energy Services Limited,Energy demand,,VMR0006,Under development,India,7249,Asia,,2022-09-01,2029-08-31
3476,CORE CARBON VANAM IN JHARKHAND STATE 2,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,India,502059,Asia,,2017-11-01,2037-10-31
3477,CORE CARBON VANAM IN ANDHRA PRADESH,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,India,2847326,Asia,,2018-07-08,2038-07-07
3478,CORE CARBON VANAM IN TELANGANA STATE,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,India,419519,Asia,,2018-06-01,2038-05-31
3479,"Amigos de Calakmul Community Conservation Forestry Program, Mexico",Multiple Proponents,Agriculture Forestry and Other Land Use,IFM,ACM0010,Under development,Mexico,711601,Latin America,,2017-07-01,2042-06-30
3480,CORE CARBON VANAM IN JHARKHAND STATE,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,India,172110,Asia,,2018-05-10,2038-05-09
3481,CORE CARBON VANAM IN ODISHA STATE,Core CarbonX Solutions Pvt. Ltd.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,India,449341,Asia,,2018-05-25,2038-05-24
3483,Decentralized Municipal Solid Waste to Compost Formation Project,Envro Queen Private Limited,Waste handling and disposal,,ACM0022,Under development,India,8025425,Asia,,2020-11-16,2027-11-15
3484,Fuyuan-1 Water Management with Rice Cultivation,"Harbin Beigen Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,AMS-III.AU,Under development,China,58883,Asia,,2018-04-27,2025-04-26
